condition,Peptide,n,mean_diff,statistic,effect_size,p_value,p_adjusted,source_file
Neg15m_NegCTL,NCF1_296_308,3,-0.4740149535974562,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,CDN1A_139_151,3,-0.29342693012078414,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,RS6_228_240,3,-0.5994832889886187,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,MYPC3_268_280,3,-0.741665990890148,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,RYR1_4317_4329,3,-0.4733485232559265,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,VTNC_390_402,3,-0.573842515097977,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,TRPM7_1498_1510,3,-0.695519970910586,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,PTK6_436_448,3,-0.6119608216220888,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,NFKB1_330_342,3,-0.7509856117272662,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,GPSM2_394_406,3,-0.6122487879996656,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,CCR5_330_342,3,-0.39465045868576826,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,CFTR_730_742,3,-0.7863880751275097,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,LIPS_944_956,3,-0.6297375692372545,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,RB_242_254,3,-0.4157185317655522,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,PLEK_106_118,3,-0.3150533881449616,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,PTN12_32_44,3,-0.47504668893721735,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,ADDB_696_708,3,-0.29592222951170566,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,CAC1C_1974_1986,3,-0.3130232539570219,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,KAP3_107_119,3,-0.36582879954410547,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,NOS3_1171_1183,3,-0.3858993257252467,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,LMNB1_16_28,3,-0.5093486948802218,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,RAF1_253_265,3,-0.3216575925107102,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,RBL2_655_667,3,-0.5164951685699476,0,0,0.1814492077214203,0.3210255213532821,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
